parkhaus_name,longitude,latitude,total_number_of_places,cost 0-15 min,cost 15-30 min,cost 31-60 min,cost 1-2 hours,cost 2-3 hours,cost 3-4 hours,cost 4-5 hours,cost 5-6 hours,cost 6-7 hours,cost 7-8 hours,cost 8-9 hours,cost 9-10 hours,cost 10-11 hours,dauerstellplaetze
Alte Oper,50.116377,8.671765,402,2.5,2.5,2.5,5,7.5,10,12.5,15,17.5,20,22.5,25,27.5,39
Börse,50.115228,8.676301,891,2.5,2.5,2.5,5,7.5,10,12.5,15,17.5,20,22.5,25,27.5,840
Am Theater,50.107141,8.673424,371,2,2,2,4,6,8,10,12,14,16,18,20,22,77
Baseler Platz,50.10453,8.666192,387,2,2,2,4,6,8,10,12,14,16,18,20,22,74
Hauptbahnhof Süd,50.104484,8.660762,358,2,2,2,4,6,8,10,12,14,16,18,20,22,12
Hauptwache,50.112034,8.679455,424,2.5,2.5,2.5,5,7.5,10,12.5,15,17.5,20,22.5,25,27.5,190
Konstabler,50.11353,8.685165,809,2,2,2,4,6,8,10,12,14,16,18,20,22,600
Am Gericht,50.115651,8.690175,680,2,2,2,4,6,8,10,12,14,16,18,20,22,137
Konrad-Adenauer-Straße,50.117006,8.687281,609,2,2,2,4,6,8,10,12,14,16,18,20,22,160
Turmcenter,50.119927,8.678794,402,1.5,1.5,1.5,3,4.5,6,6,6,6,6,6,6,6,200
Karstadt,50.115796,8.683336,693,2,2,2,4,6.5,9,11.5,14,16.5,19,20,20,20,370
MyZeil,50.115823,8.679673,1390,2,2,2,4.5,6.5,9,11,13.5,15.5,18,20,22.5,24.5,710
