parkhaus_name,longitude,latitude,total_number_of_places,cost 0-15 min,cost 15-30 min,cost 31-60 min,cost 1-2 hours,cost 2-3 hours,cost 3-4 hours,cost 4-5 hours,cost 5-6 hours,cost 6-7 hours,cost 7-8 hours,cost 8-9 hours,cost 9-10 hours,cost 10-11 hours,cost 11-12 hours,cost 12-13 hours,accessibility,is_in_quadrate,is_in_east,dauerstellplaetze,timeseries_group
"C1 Hauptverwaltung MPB, Parkhaus",49.486702,8.464062,211,1,1,1.5,3,4.5,5.5,6.5,7.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,2,1,1,30,normal
"Collini-Center, Tiefgarage",49.491498,8.476735,650,0,0.5,1.1,2.2,3.3,4.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4,0,0,285,normal
"Collini-Center Mulde, Parkplatz",49.491098,8.478163,213,0,0.5,1.1,2.2,3.3,4.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,3,0,0,125,normal
"D3, Tiefgarage",49.487805,8.463452,378,1,1,1.5,3,4.5,5.5,6.5,7.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,2,1,1,85,normal
"D5 Reiß-Museum, Tiefgarage",49.488479,8.461874,365,0.5,0.5,1.4,2.8,4.2,5.6,7,7,7,7,7,7,7,7,7,3,1,1,40,normal
"G1 Marktplatz, Tiefgarage",49.489957,8.467086,337,1,1,2,4,6,7,8,9,10,10,10,10,10,10,10,3,1,1,40,market
"H6, Tiefgarage",49.492413,8.464149,271,0.5,0.5,1.2,2.4,3.6,4.8,6,6,6,6,6,6,6,6,6,2,1,1,160,normal
"Hauptbahnhof P1 , Tiefgarage",49.480224,8.471121,327,0,0.5,2,4,6,7.8,9.6,11.4,13.2,15,16.8,18.6,19.7,20.8,20.8,5,0,0,0,train station
"Hauptbahnhof P2, Parkhaus",49.478773,8.471768,326,0,0.5,2,4,6,7.7,9.4,11.1,12,12.9,13.8,14.7,15.6,16.5,17.4,5,0,0,0,train station
"Hauptbahnhof P3/P4, Parkhaus",49.47939,8.474482,264,0.5,0.5,2,3.5,5,6,7,7.6,8.2,8.8,9.4,10,10.6,11.2,12.8,4,0,0,75,train station
"Hauptbahnhof P5, Parkhaus",49.477155,8.469439,584,0.5,0.5,2,4,6,7.7,9.4,11.1,12,12.9,13.8,14.7,15.6,16.5,17.4,2,0,0,415,normal
"Klinikum, Tiefgarage",49.490076,8.490201,509,0.5,0.5,1.2,2.4,3.6,4.8,6,6,6,6,6,6,6,6,6,3,0,0,15,normal
"Kunsthalle, Tiefgarage",49.48447,8.475937,406,1,1,2,4,6,7,8,9,10,11,12,12,12,12,12,5,0,0,45,normal
Klinikum P3,49.489981,8.490801,313,0.5,0.5,1,2,3,3,3,3,3,3,3,3,3,3,3,4,0,0,40,normal
"M4a, Parkplatz",49.48423,8.467019,68,1,1,2,4,6,7,8,9,9,9,9,9,9,9,9,4,1,1,0,normal
"N1/N2 Stadthaus, Parkhaus",49.486379,8.466172,727,1,1,2,4,6,7,8,9,10,10,10,10,10,10,10,3,1,1,115,normal
N6 Komforthaus,49.48455,8.47014,201,1,1,2.2,4.5,6.8,8,9,10,11,12,13,14,15,16,17,3,1,1,22,normal
N6 Standardhaus,49.484839,8.469229,298,1,1,2,4,6,7,8,9,10,11,12,13,14,15,16,2,1,1,45,normal
Nationaltheater,49.488723,8.479143,160,0.5,0.5,1.2,2.4,3.6,4.8,6,7.2,8.4,9.6,9.6,9.6,9.6,9.6,9.6,4,0,0,0,normal
"U2, Tiefgarage",49.491507,8.471905,190,0.5,0.5,1.4,2.8,4.2,5.6,7,7,7,7,7,7,7,7,7,3,1,0,60,normal
